Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player Link
d1eda5f0,62,Martin Baturina,hr CRO,MF,hr Dinamo Zagreb,19,2003,5,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,https://fbref.com/en/players/d1eda5f0/Martin-Baturina
e3756e72,63,Raoul Bellanova,it ITA,"DF,MF",it Inter,22,2000,3,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,https://fbref.com/en/players/e3756e72/Raoul-Bellanova
f874dd44,64,Héctor Bellerín,es ESP,DF,es Barcelona,27,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,6,7,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07,Matches,https://fbref.com/en/players/f874dd44/Hector-Bellerin
57d88cf9,65,Jude Bellingham,eng ENG,MF,de Dortmund,19,2003,7,7,630,7.0,4,1,5,4,0,0,2,0,1.3,1.3,0.7,2.0,16,50,22,0.57,0.14,0.71,0.57,0.71,0.19,0.10,0.29,0.19,0.29,Matches,https://fbref.com/en/players/57d88cf9/Jude-Bellingham
db092d3b,66,Ismaël Bennacer,dz ALG,MF,it Milan,24,1997,10,9,585,6.5,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.7,9,31,9,0.15,0.00,0.15,0.15,0.15,0.07,0.04,0.11,0.07,0.11,Matches,https://fbref.com/en/players/db092d3b/Ismael-Bennacer
3b8674e6,67,Rodrigo Bentancur,uy URU,"MF,FW",eng Tottenham,25,1997,6,6,503,5.6,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,11,51,7,0.18,0.00,0.18,0.18,0.18,0.07,0.05,0.12,0.07,0.12,Matches,https://fbref.com/en/players/3b8674e6/Rodrigo-Bentancur
70d74ece,68,Karim Benzema,fr FRA,FW,es Real Madrid,34,1987,10,9,744,8.3,4,1,5,4,0,0,0,0,5.1,5.1,1.8,6.9,12,31,44,0.48,0.12,0.60,0.48,0.60,0.62,0.22,0.84,0.62,0.84,Matches,https://fbref.com/en/players/70d74ece/Karim-Benzema
713c144a,69,Steven Berghuis,nl NED,"MF,FW",nl Ajax,30,1991,6,6,462,5.1,2,2,4,2,0,0,1,0,1.1,1.1,0.6,1.7,6,39,15,0.39,0.39,0.78,0.39,0.78,0.21,0.13,0.33,0.21,0.33,Matches,https://fbref.com/en/players/713c144a/Steven-Berghuis
a29b1131,70,Steven Bergwijn,nl NED,FW,nl Ajax,24,1997,6,6,519,5.8,2,0,2,1,1,1,1,0,1.8,1.0,0.8,1.8,12,16,49,0.35,0.00,0.35,0.17,0.17,0.31,0.13,0.44,0.17,0.30,Matches,https://fbref.com/en/players/a29b1131/Steven-Bergwijn
67b09a18,71,Alexandro Bernabei,ar ARG,FW,sct Celtic,21,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,Matches,https://fbref.com/en/players/67b09a18/Alexandro-Bernabei
17370b95,72,Bernardo,br BRA,DF,at RB Salzburg,27,1995,4,2,274,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,https://fbref.com/en/players/17370b95/Bernardo
433dc9a2,73,Juan Bernat,es ESP,DF,fr Paris S-G,29,1993,5,3,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,11,18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,https://fbref.com/en/players/433dc9a2/Juan-Bernat
505486d6,74,Victor Bernth Kristiansen,dk DEN,"DF,MF",dk FC Copenhagen,19,2002,6,5,483,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,6,11,19,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen
d00fd50a,75,Modou Biramé Ndiaye,sn SEN,MF,cz Viktoria Plzeň,25,1996,4,2,182,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,https://fbref.com/en/players/d00fd50a/Modou-Birame-Ndiaye
6c203af0,76,Yves Bissouma,ml MLI,MF,eng Tottenham,25,1996,3,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/6c203af0/Yves-Bissouma
663e080e,77,Janis Blaswich,de GER,GK,de RB Leipzig,31,1991,6,5,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/663e080e/Janis-Blaswich
