Player ID,Player,Pos,Squad,SCA90,GCA90
b57e066e,Rico Lewis,"MF,DF",eng Manchester City,3.61,0.99
d6e53a3a,Matthijs de Ligt,DF,de Bayern Munich,0.91,0.45
37dc1a48,Jesper Lindstrøm,FW,it Napoli,2.43,2.43
2a295d33,Samuel Lino,DF,es Atlético Madrid,3.39,1.04
02c15616,Marcos Llorente,"MF,FW",es Atlético Madrid,2.92,0.49
e9fda01d,Danny Loader,"MF,FW",pt Porto,0.0,0.0
e1cbb531,Stanislav Lobotka,MF,it Napoli,0.92,0.0
c1fe5f0b,Fermin López,"MF,FW",es Barcelona,4.83,0.44
a69e4806,Hirving Lozano,FW,nl PSV Eindhoven,1.9,0.54
5b9512c5,Castello Lukeba,DF,de RB Leipzig,0.29,0.0
3061e1ec,Andriy Lunin,GK,es Real Madrid,0.0,0.0
cab9634e,Ian Maatsen,DF,de Dortmund,1.0,0.0
d4808594,Jon Magunacelaya,MF,es Real Sociedad,0.0,0.0
116c35df,Donyell Malen,FW,de Dortmund,1.68,0.0
c20bdcd7,Reinildo Mandava,DF,es Atlético Madrid,0.0,0.0
f0da930c,José María Giménez,DF,es Atlético Madrid,0.6,0.3
82a39b66,João Mário Lopes,DF,pt Porto,3.2,0.36
d5f2f82b,Marquinhos,DF,fr Paris S-G,0.5,0.17
48a5a5d6,Gabriel Martinelli,FW,eng Arsenal,3.09,1.03
3fc45c73,Iñigo Martínez,DF,es Barcelona,1.38,0.69
f7036e1c,Lautaro Martínez,FW,it Inter,1.97,0.44
f3945e07,Toni Martínez,FW,pt Porto,0.0,0.0
d4535821,Adam Marušić,DF,it Lazio,1.23,0.0
3a089320,Magnus Mattsson,MF,dk FC Copenhagen,3.19,0.0
0e6bc38c,Eric Maxim Choupo-Moting,"FW,MF",de Bayern Munich,4.74,0.0
b74277a0,Noussair Mazraoui,DF,de Bayern Munich,2.3,0.23
42fd9c7f,Kylian Mbappé,"FW,MF",fr Paris S-G,4.62,0.25
4e5a4cbc,Scott McKenna,DF,dk FC Copenhagen,0.0,0.0
70c52749,Birger Meling,DF,dk FC Copenhagen,2.8,0.47
8f696594,Memphis,FW,es Atlético Madrid,4.35,0.0
f20e4cc9,Nuno Mendes,DF,fr Paris S-G,0.0,0.0
c9e39d91,Brais Méndez,MF,es Real Sociedad,3.42,0.51
3cefcaef,Ferland Mendy,DF,es Real Madrid,1.61,0.23
9413b19f,Alex Meret,GK,it Napoli,0.0,0.0
d080ed5e,Mikel Merino,MF,es Real Sociedad,3.14,0.14
b56dd813,Alexander Meyer,GK,de Dortmund,0.0,0.0
e0f8151c,Kim Min-jae,DF,de Bayern Munich,0.67,0.0
dd0daf32,Henrikh Mkhitaryan,MF,it Inter,3.1,0.22
6025fab1,Luka Modrić,MF,es Real Madrid,7.71,0.29
23610943,Nahuel Molina,DF,es Atlético Madrid,2.82,0.47
129af0db,Álvaro Morata,FW,es Atlético Madrid,0.94,0.0
6ce43701,Youssoufa Moukoko,FW,de Dortmund,0.0,0.0
ac73ec79,Nordi Mukiele,DF,fr Paris S-G,1.58,0.0
3c6089ab,Thomas Müller,MF,de Bayern Munich,5.82,0.53
228b0d9d,Aihen Muñoz,DF,es Real Sociedad,1.14,0.19
2c0558b8,Jamal Musiala,"MF,FW",de Bayern Munich,4.64,0.69
2946f9a1,Nacho,DF,es Real Madrid,0.58,0.29
94bccc82,Natan,DF,it Napoli,1.4,0.6
02a5618e,Fran Navarro,FW,pt Porto,0.0,0.0
c5bdb6e3,Reiss Nelson,FW,eng Arsenal,7.12,1.02
8778c910,Manuel Neuer,GK,de Bayern Munich,0.2,0.0
c14bc029,Saúl Ñíguez,MF,es Atlético Madrid,1.31,0.0
a53649b7,Eddie Nketiah,"FW,MF",eng Arsenal,0.75,0.0
091c86e2,Felix Nmecha,MF,de Dortmund,3.07,0.0
e6af02e0,Matheus Nunes,"MF,FW",eng Manchester City,5.97,0.85
2ffa6348,Armando Obispo,DF,nl PSV Eindhoven,2.97,0.0
ee8508c0,Jan Oblak,GK,es Atlético Madrid,0.14,0.0
1d1691ad,Álvaro Odriozola,"DF,FW",es Real Sociedad,0.93,0.0
3d99999d,Olasagasti,MF,es Real Sociedad,11.25,0.0
41c12f75,Mathías Olivera,DF,it Napoli,2.69,0.0
ae44e8e2,Dani Olmo,MF,de RB Leipzig,5.47,0.5
8652a85c,Loïs Openda,FW,de RB Leipzig,2.77,0.49
c0347e9b,Fredrik Oppegard,FW,nl PSV Eindhoven,0.0,0.0
20030c06,Willi Orban,DF,de RB Leipzig,1.0,0.0
c1242d4e,Stefan Ortega,GK,eng Manchester City,0.5,0.0
8c90fd7a,Victor Osimhen,FW,it Napoli,2.69,0.24
8c3c640c,Mikel Oyarzabal,"FW,MF",es Real Sociedad,2.15,0.15
15413fa5,Salih Özcan,MF,de Dortmund,2.11,0.0
44150beb,Jon Pacheco,DF,es Real Sociedad,0.0,0.0
f7223718,Patric,DF,it Lazio,1.46,0.0
45a03961,Benjamin Pavard,DF,it Inter,1.75,0.0
2658c82f,Aleksandar Pavlovic,MF,de Bayern Munich,2.31,0.0
01bb93d5,Nicolás Paz,MF,es Real Madrid,0.0,0.0
0d9b2d31,Pedri,"MF,FW",es Barcelona,4.54,0.76
3ca7254a,Pedro,FW,it Lazio,2.8,0.0
3b61c9ec,Luca Pellegrini,DF,it Lazio,1.68,0.0
cc1c5035,Iñaki Peña,GK,es Barcelona,0.0,0.0
c906ce0f,Pepe,DF,pt Porto,0.83,0.17
fc4e7637,Pepê,"MF,FW",pt Porto,3.97,0.52
a2b1ed42,Ricardo Pepi,FW,nl PSV Eindhoven,5.67,2.13
8fd9996f,Danilo Pereira,DF,fr Paris S-G,1.14,0.0
4f565d77,Kalvin Phillips,MF,eng Manchester City,0.7,0.0
5e861944,Matteo Politano,FW,it Napoli,4.04,0.18
d2416c2e,Yussuf Poulsen,"FW,MF",de RB Leipzig,2.67,0.53
277da414,Ivan Provedel,GK,it Lazio,0.12,0.0
7483d9f9,André Ramalho,DF,nl PSV Eindhoven,1.06,0.0
f63cda26,Gonçalo Ramos,FW,fr Paris S-G,3.06,0.0
466fb2c5,Aaron Ramsdale,GK,eng Arsenal,0.0,0.0
3423f250,Raphinha,FW,es Barcelona,3.19,0.4
6e058f06,Giacomo Raspadori,"FW,MF",it Napoli,4.12,0.0
7d450ed3,David Raum,DF,de RB Leipzig,3.71,0.43
98ea5115,David Raya,GK,eng Arsenal,0.17,0.0
374ee424,Álex Remiro,GK,es Real Sociedad,0.0,0.0
36a3ff67,Marco Reus,"MF,FW",de Dortmund,3.81,0.45
7fa4e703,Gio Reyna,"FW,MF",de Dortmund,0.0,0.0
1c7012b8,Declan Rice,MF,eng Arsenal,1.17,0.17
