Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
2a0c8ba4,Joan Jordán,MF,es Sevilla,0.0,0.0,,,
45db685d,Jorginho,MF,eng Arsenal,0.28,0.0,0.0,0.0,
6265208f,Joselu,FW,es Real Madrid,9.81,2.45,25.0,0.11,0.43
4d8cd038,Luka Jović,"FW,MF",it Milan,14.06,2.81,20.0,0.0,0.0
a29e5244,Mauro Júnior,"DF,MF",nl PSV Eindhoven,0.92,0.92,100.0,0.0,0.0
570bb4b9,Hamed Junior Traorè,MF,it Napoli,0.0,0.0,,,
7111d552,Vinicius Júnior,FW,es Real Madrid,3.05,1.02,33.3,0.2,0.6
0a084b35,Josip Juranović,DF,de Union Berlin,0.87,0.0,0.0,0.0,
d7a03bf3,David Jurásek,"MF,DF",pt Benfica,0.0,0.0,,,
008042f3,Uroš Kabić,DF,rs Red Star,0.0,0.0,,,
85f7d1be,Pierre Kalulu,DF,it Milan,0.0,0.0,,,
15b287da,Daichi Kamada,MF,it Lazio,1.4,0.7,50.0,0.0,0.0
0ca476cc,Dijon Kameri,MF,at RB Salzburg,0.0,0.0,,,
b825a650,Kevin Kampl,MF,de RB Leipzig,0.64,0.32,50.0,0.0,0.0
21a66f6a,Harry Kane,FW,de Bayern Munich,2.92,1.27,43.5,0.22,0.5
8455ad90,Lee Kang-in,"MF,FW",fr Paris S-G,3.18,0.71,22.2,0.11,0.5
af50141d,Guélor Kanga,MF,rs Red Star,1.84,0.61,33.3,0.0,0.0
4123bc9a,Kings Kangwa,MF,rs Red Star,0.0,0.0,,,
