Player ID,Player,Pos,Squad,SCA90,GCA90
8b8e759d,Marko Grujić,MF,pt Porto,3.88,0.0
0076ab7f,Nemanja Gudelj,"DF,MF",es Sevilla,0.73,0.0
e6bc67d7,Gonçalo Guedes,"FW,MF",pt Benfica,4.19,0.0
5ea8ef20,Mattéo Guendouzi,MF,fr Marseille,2.37,0.0
048a1cbc,Raphaël Guerreiro,DF,de Dortmund,2.44,0.38
7155e3e1,Pape Gueye,MF,fr Marseille,7.3,0.0
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,0.47,0.0
819b3158,İlkay Gündoğan,MF,eng Manchester City,3.17,0.36
5ad50391,Joško Gvardiol,DF,de RB Leipzig,0.5,0.0
1f44ac21,Erling Haaland,FW,eng Manchester City,2.14,0.21
92432bc6,Amadou Haidara,MF,de RB Leipzig,2.38,0.26
e42d61c7,Achraf Hakimi,"DF,MF",fr Paris S-G,1.09,0.31
d2fd7c14,Sead Haksabanović,"MF,FW",sct Celtic,6.32,0.0
ba115a40,Sébastien Haller,FW,de Dortmund,2.52,0.0
8ff2354e,Marcel Halstenberg,DF,de RB Leipzig,2.16,0.54
e7d59f4f,Amine Harit,MF,fr Marseille,7.12,0.71
cb4f24c6,Joe Hart,GK,sct Celtic,0.0,0.0
9ab16552,Makoto Hasebe,DF,de Eint Frankfurt,0.35,0.0
78f85621,Reo Hatate,MF,sct Celtic,2.61,0.2
8454388c,Milan Havel,DF,cz Viktoria Plzeň,2.33,0.0
fed7cb61,Kai Havertz,"FW,MF",eng Chelsea,3.63,0.0
a39bb753,Eden Hazard,"FW,MF",es Real Madrid,5.45,1.36
50871bcc,Thorgan Hazard,"DF,FW",de Dortmund,3.6,0.0
40d08dcd,Dolev Haziz,DF,il Maccabi Haifa,1.71,0.43
61f63784,Lukáš Hejda,DF,cz Viktoria Plzeň,0.35,0.18
935e6b8f,Jordan Henderson,MF,eng Liverpool,3.25,0.65
ffed43e3,Jack Hendry,DF,be Club Brugge,1.0,0.0
0a89e877,Benjamin Henrichs,"DF,MF",de RB Leipzig,0.89,0.0
555f3a0b,Mario Hermoso,DF,es Atlético Madrid,1.14,0.0
c3ee18ef,Lucas Hernández,DF,de Bayern Munich,1.04,0.0
d4c9725f,Theo Hernández,DF,it Milan,2.67,0.29
92e7e919,Son Heung-min,"MF,FW",eng Tottenham,2.91,0.0
0c7a48f8,Piero Hincapié,DF,de Leverkusen,1.6,0.0
5521f419,Adam Hložek,"MF,FW",de Leverkusen,3.93,0.33
d92ab59f,Libor Holík,DF,cz Viktoria Plzeň,2.17,0.62
ad3389d5,Lukáš Hrádecký,GK,de Leverkusen,0.0,0.0
15f3ec41,Callum Hudson-Odoi,FW,de Leverkusen,4.29,0.39
05d548d8,Mats Hummels,DF,de Dortmund,0.0,0.0
8b04d6c1,Pierre Højbjerg,MF,eng Tottenham,2.45,0.43
ba492306,Samuel Iling-Junior,DF,it Juventus,8.57,4.29
33651873,Gonçalo Inácio,DF,pt Sporting CP,0.17,0.0
a0b4bb3e,Isco,"MF,FW",es Sevilla,2.93,0.23
1f994616,Franco Israel,GK,pt Sporting CP,0.0,0.0
29fbdc88,Luka Ivanušec,MF,hr Dinamo Zagreb,2.74,0.0
d97cccc9,Ryan Jack,MF,sct Rangers,2.83,0.47
a8ee54ad,Kristijan Jakić,DF,de Eint Frankfurt,0.88,0.0
1265a93a,Reece James,"DF,MF",eng Chelsea,3.91,0.39
4737cebe,Adnan Januzaj,"FW,MF",es Sevilla,3.46,0.0
eeba07f8,Luis Javier Suárez,FW,fr Marseille,3.91,0.0
213f0daf,Elias Jelert,"DF,MF",dk FC Copenhagen,1.41,0.0
b244e804,Václav Jemelka,DF,cz Viktoria Plzeň,1.25,0.25
cd1629bc,Valdemar Jensen,DF,dk FC Copenhagen,0.0,0.0
ee644761,Moritz Jenz,DF,sct Celtic,0.5,0.0
79083382,Juan Jesus,DF,it Napoli,0.0,0.0
f9bd541e,Erik Jirka,"FW,MF",cz Viktoria Plzeň,3.38,0.34
c16c4e3b,Ísak Jóhannesson,"FW,MF",dk FC Copenhagen,1.86,0.0
4fb9c88f,Curtis Jones,"FW,MF",eng Liverpool,2.7,0.0
1bacc518,Frenkie de Jong,MF,es Barcelona,1.89,0.76
2a0c8ba4,Joan Jordán,MF,es Sevilla,2.77,0.0
45db685d,Jorginho,MF,eng Chelsea,3.45,0.22
8c5f1522,Jota,FW,sct Celtic,6.02,0.32
178ae8f8,Diogo Jota,"FW,MF",eng Liverpool,5.82,1.03
7111d552,Vinicius Júnior,FW,es Real Madrid,4.91,0.74
0a084b35,Josip Juranović,DF,sct Celtic,2.33,0.0
2a9f6b4d,Jutglà,FW,be Club Brugge,1.94,0.88
c066d1a5,Issa Kaboré,DF,fr Marseille,0.8,0.0
85f7d1be,Pierre Kalulu,DF,it Milan,1.2,0.0
df064106,Lukáš Kalvach,MF,cz Viktoria Plzeň,2.57,0.0
15b287da,Daichi Kamada,"MF,FW",de Eint Frankfurt,1.94,0.0
4da9191b,Glen Kamara,MF,sct Rangers,1.42,0.0
0ca476cc,Dijon Kameri,MF,at RB Salzburg,2.23,0.0
b825a650,Kevin Kampl,MF,de RB Leipzig,1.32,0.0
21a66f6a,Harry Kane,FW,eng Tottenham,3.5,0.62
b9fbae28,N'Golo Kanté,MF,eng Chelsea,3.29,0.0
23a10591,Mamoudou Karamoko,FW,dk FC Copenhagen,0.0,0.0
3d50bcdb,Moise Kean,"FW,MF",it Juventus,0.81,0.0
316de854,Ryan Kent,"FW,MF",sct Rangers,2.31,0.0
05e19d6a,Franck Kessié,MF,es Barcelona,0.99,0.0
