Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player Link
8455ad90,316,Lee Kang-in,kr KOR,"MF,FW",fr Paris S-G,23-019,2001,2.8,1,9,2,22.2,3.18,0.71,0.11,0.50,17.3,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches,https://fbref.com/en/players/8455ad90/Lee-Kang-in
af50141d,317,Guélor Kanga,ga GAB,MF,rs Red Star,33-190,1990,1.6,0,3,1,33.3,1.84,0.61,0.00,0.00,31.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,https://fbref.com/en/players/af50141d/Guelor-Kanga
4123bc9a,318,Kings Kangwa,zm ZAM,MF,rs Red Star,24-338,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/4123bc9a/Kings-Kangwa
812e5ded,319,Kazımcan Karataş,tr TUR,DF,tr Galatasaray,21-053,2003,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/812e5ded/Kazimcan-Karatas
b0395623,320,Oleksii Kashchuk,ua UKR,FW,ua Shakhtar,23-254,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/b0395623/Oleksii-Kashchuk
d5127c3f,321,Aleksandar Katai,rs SRB,"MF,FW",rs Red Star,33-032,1991,0.9,1,6,2,33.3,6.84,2.28,0.17,0.50,12.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,https://fbref.com/en/players/d5127c3f/Aleksandar-Katai
f5692b25,322,Mandela Keita,be BEL,MF,be Antwerp,21-304,2002,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/f5692b25/Mandela-Keita
136958ad,323,Kevin Kelsy,ve VEN,FW,ua Shakhtar,19-226,2004,1.5,1,2,1,50.0,1.34,0.67,0.50,1.00,9.6,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches,https://fbref.com/en/players/136958ad/Kevin-Kelsy
4658e309,324,Aljoscha Kemlein,de GER,MF,de Union Berlin,19-220,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/4658e309/Aljoscha-Kemlein
eb907bfc,325,Gyrano Kerk,nl NED,FW,be Antwerp,28-098,1995,2.3,0,3,1,33.3,1.31,0.44,0.00,0.00,8.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,https://fbref.com/en/players/eb907bfc/Gyrano-Kerk
59e4b92e,326,Rani Khedira,de GER,MF,de Union Berlin,30-042,1994,3.2,0,2,0,0.0,0.62,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,https://fbref.com/en/players/59e4b92e/Rani-Khedira
49296448,327,Joshua Kimmich,de GER,"MF,DF",de Bayern Munich,29-030,1995,8.0,0,7,2,28.6,0.87,0.25,0.00,0.00,23.3,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,https://fbref.com/en/players/49296448/Joshua-Kimmich
dc3e663e,328,Jakub Kiwior,pl POL,DF,eng Arsenal,24-023,2000,2.6,0,2,0,0.0,0.78,0.00,0.00,,17.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior
8b8a56ce,329,Simon Kjær,dk DEN,DF,it Milan,34-349,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/8b8a56ce/Simon-Kjaer
2b0852db,330,Maurits Kjærgaard,dk DEN,"MF,FW",at RB Salzburg,20-257,2003,2.3,0,3,0,0.0,1.31,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,https://fbref.com/en/players/2b0852db/Maurits-Kjaergaard
15fd5593,331,Davy Klaassen,nl NED,"MF,FW",it Inter,31-017,1993,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/15fd5593/Davy-Klaassen
ca8033cb,332,Lukas Klostermann,de GER,DF,de RB Leipzig,27-280,1996,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/ca8033cb/Lukas-Klostermann
6bd5cd5d,333,Robin Knoche,de GER,DF,de Union Berlin,31-292,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,https://fbref.com/en/players/6bd5cd5d/Robin-Knoche
cd59b9df,334,Gregor Kobel,ch SUI,GK,de Dortmund,26-094,1997,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
6747869d,335,Sekou Koita,ml MLI,FW,at RB Salzburg,24-102,1999,0.8,0,2,0,0.0,2.65,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,https://fbref.com/en/players/6747869d/Sekou-Koita
9bf914b4,336,Orkun Kökçü,tr TUR,MF,pt Benfica,23-071,2000,2.9,0,3,0,0.0,1.03,0.00,0.00,,24.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,https://fbref.com/en/players/9bf914b4/Orkun-Kokcu
55126f3b,337,Koke,es ESP,MF,es Atlético Madrid,32-061,1992,5.2,0,3,0,0.0,0.57,0.00,0.00,,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,https://fbref.com/en/players/55126f3b/Koke
c0b3669f,338,Randal Kolo Muani,fr FRA,"FW,MF",fr Paris S-G,25-095,1998,4.9,1,8,2,25.0,1.63,0.41,0.13,0.50,12.8,0,0,0,1.9,1.9,0.24,-0.9,-0.9,Matches,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani
bc2618f0,339,Karim Konaté,ci CIV,"FW,MF",at RB Salzburg,19-354,2004,2.6,0,10,3,30.0,3.80,1.14,0.00,0.00,19.7,0,0,1,1.8,1.0,0.10,-1.8,-1.0,Matches,https://fbref.com/en/players/bc2618f0/Karim-Konate
aee634bf,340,Yukhym Konoplia,ua UKR,DF,ua Shakhtar,24-196,1999,2.8,0,1,0,0.0,0.35,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,https://fbref.com/en/players/aee634bf/Yukhym-Konoplia
9b94c838,341,Ilias Kostis,gr GRE,FW,es Atlético Madrid,21-011,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/9b94c838/Ilias-Kostis
4d1666ff,342,Jules Koundé,fr FRA,DF,es Barcelona,25-118,1998,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,https://fbref.com/en/players/4d1666ff/Jules-Kounde
79c0821a,343,Mateo Kovačić,hr CRO,MF,eng Manchester City,29-308,1994,3.7,0,5,0,0.0,1.35,0.00,0.00,,18.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
e717705a,344,Alex Král,cz CZE,MF,de Union Berlin,25-295,1998,2.8,1,3,2,66.7,1.08,0.72,0.33,0.50,27.3,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches,https://fbref.com/en/players/e717705a/Alex-Kral
037f2523,345,Jean-Philippe Krasso,ci CIV,"FW,MF",rs Red Star,26-236,1997,1.2,0,3,1,33.3,2.43,0.81,0.00,0.00,15.9,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches,https://fbref.com/en/players/037f2523/Jean-Philippe-Krasso
1fc08838,346,Frans Krätzig,de GER,DF,de Bayern Munich,21-055,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/1fc08838/Frans-Kratzig
6ce1f46f,347,Toni Kroos,de GER,MF,es Real Madrid,34-065,1990,5.3,0,3,2,66.7,0.56,0.37,0.00,0.00,24.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,https://fbref.com/en/players/6ce1f46f/Toni-Kroos
817c6964,348,Rade Krunić,ba BIH,"MF,DF",it Milan,30-154,1993,2.3,0,1,1,100.0,0.43,0.43,0.00,0.00,31.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,https://fbref.com/en/players/817c6964/Rade-Krunic
47420f02,349,Dmytro Kryskiv,ua UKR,"MF,FW",ua Shakhtar,23-155,2000,4.3,0,4,2,50.0,0.93,0.46,0.00,0.00,24.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,https://fbref.com/en/players/47420f02/Dmytro-Kryskiv
16aa3654,350,Takefusa Kubo,jp JPN,"FW,MF",es Real Sociedad,22-279,2001,6.2,0,11,3,27.3,1.77,0.48,0.00,0.00,19.6,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,https://fbref.com/en/players/16aa3654/Takefusa-Kubo
dea88efd,351,Khvicha Kvaratskhelia,ge GEO,FW,it Napoli,23-026,2001,6.4,0,14,3,21.4,2.18,0.47,0.00,0.00,17.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia
9e39fa2d,352,Gustaf Lagerbielke,se SWE,DF,sct Celtic,23-334,2000,0.9,1,1,1,100.0,1.15,1.15,1.00,1.00,2.6,0,0,0,0.8,0.8,0.79,+0.2,+0.2,Matches,https://fbref.com/en/players/9e39fa2d/Gustaf-Lagerbielke
22798128,353,Aïssa Laïdouni,tn TUN,MF,de Union Berlin,27-087,1996,3.1,0,2,0,0.0,0.65,0.00,0.00,,18.6,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,https://fbref.com/en/players/22798128/Aissa-Laidouni
c1b7847c,354,Konrad Laimer,at AUT,"DF,MF",de Bayern Munich,26-287,1997,4.6,0,1,0,0.0,0.22,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,https://fbref.com/en/players/c1b7847c/Konrad-Laimer
abe66106,355,Érik Lamela,ar ARG,"FW,MF",es Sevilla,32-005,1992,2.1,0,1,1,100.0,0.48,0.48,0.00,0.00,5.2,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches,https://fbref.com/en/players/abe66106/Erik-Lamela
8e6d2fcd,356,Senne Lammens,be BEL,GK,be Antwerp,21-246,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/8e6d2fcd/Senne-Lammens
8e034340,357,Noa Lang,nl NED,FW,nl PSV Eindhoven,24-266,1999,1.8,0,9,4,44.4,4.91,2.18,0.00,0.00,19.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,https://fbref.com/en/players/8e034340/Noa-Lang
72984eee,358,Jordan Larsson,se SWE,"FW,MF",dk FC Copenhagen,26-263,1997,1.2,0,3,2,66.7,2.60,1.73,0.00,0.00,15.4,0,0,1,1.0,0.2,0.08,-1.0,-0.2,Matches,https://fbref.com/en/players/72984eee/Jordan-Larsson
450ab6fc,359,Jamaal Lascelles,eng ENG,DF,eng Newcastle Utd,30-119,1993,5.0,0,2,0,0.0,0.40,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles
6a829019,360,Sandro Lauper,ch SUI,MF,ch Young Boys,27-136,1996,3.1,0,4,0,0.0,1.30,0.00,0.00,,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,https://fbref.com/en/players/6a829019/Sandro-Lauper
02caf6e0,361,Manuel Lazzari,it ITA,DF,it Lazio,30-101,1993,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/02caf6e0/Manuel-Lazzari
9a64e67e,362,Robin Le Normand,es ESP,DF,es Real Sociedad,27-119,1996,6.4,0,6,2,33.3,0.94,0.31,0.00,0.00,13.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,https://fbref.com/en/players/9a64e67e/Robin-Le-Normand
20730eae,363,Rafael Leão,pt POR,FW,it Milan,24-273,1999,4.9,1,11,4,36.4,2.24,0.82,0.09,0.25,18.6,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,https://fbref.com/en/players/20730eae/Rafael-Leao
c4987edc,364,Diogo Leite,pt POR,DF,de Union Berlin,25-046,1999,6.0,0,1,0,0.0,0.17,0.00,0.00,,13.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,https://fbref.com/en/players/c4987edc/Diogo-Leite
0f422610,365,Stav Lemkin,il ISR,DF,ua Shakhtar,20-342,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/0f422610/Stav-Lemkin
bbd86530,366,Christopher Lenz,de GER,DF,de RB Leipzig,29-169,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/bbd86530/Christopher-Lenz
