Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
129af0db,Álvaro Morata,FW,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,1.22,0.61,50.0,0.0,0.0,1.22,0.0,,,
6ce43701,Youssoufa Moukoko,"FW,MF",de Dortmund,0.0,0.74,0.74,0.0,0.74,3.35,1.12,33.3,0.0,0.0,2.98,0.74,,,
dbfbdf06,Paul Mukairu,FW,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,,2.05,0.0,,,
ac73ec79,Nordi Mukiele,"DF,MF",fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
3c6089ab,Thomas Müller,"MF,FW",de Bayern Munich,0.25,0.25,0.49,0.25,0.49,2.21,0.98,44.4,0.11,0.25,3.21,0.25,,,
2c0558b8,Jamal Musiala,"MF,FW",de Bayern Munich,0.0,0.34,0.34,0.0,0.34,1.7,0.68,40.0,0.0,0.0,4.59,0.34,,,
2946f9a1,Nacho,DF,es Real Madrid,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100.0,0.0,0.0,1.84,0.0,,,
5cdddffa,Tanguy Ndombele,MF,it Napoli,0.24,0.24,0.48,0.24,0.48,1.93,0.72,37.5,0.13,0.33,4.37,0.49,,,
8778c910,Manuel Neuer,GK,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.33,0.0,0.0,100.0,9.0
69384e5d,Neymar,"MF,FW",fr Paris S-G,0.33,0.33,0.67,0.33,0.67,3.01,1.0,33.3,0.11,0.33,6.35,0.67,,,
c14bc029,Saúl Ñíguez,"MF,DF",es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,1.6,0.32,20.0,0.0,0.0,3.2,0.0,,,
7c56da38,Christopher Nkunku,"MF,FW",de RB Leipzig,0.48,0.16,0.64,0.48,0.64,2.4,1.28,53.3,0.2,0.38,3.04,0.48,,,
5458f670,Hugo Novoa,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
ee8508c0,Jan Oblak,GK,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4,0.0,1.4,72.7,22.0
41c12f75,Mathías Olivera,DF,it Napoli,0.0,0.35,0.35,0.0,0.35,0.7,0.0,0.0,0.0,,2.8,0.53,,,
ae44e8e2,Dani Olmo,"FW,MF",de RB Leipzig,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,,5.54,0.0,,,
e9c0c1b2,André Onana,GK,it Inter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.31,0.08,0.85,80.7,57.0
20030c06,Willi Orban,DF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.5,0.12,25.0,0.0,0.0,0.62,0.0,,,
c1242d4e,Stefan Ortega,GK,eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.5,83.3,6.0
8c90fd7a,Victor Osimhen,FW,it Napoli,1.07,0.0,1.07,1.07,1.07,3.21,1.5,46.7,0.33,0.71,2.36,0.21,,,
28b1f3ce,Otávio,MF,pt Porto,0.0,0.34,0.34,0.0,0.34,0.86,0.34,40.0,0.0,0.0,4.11,0.51,,,
15413fa5,Salih Özcan,MF,de Dortmund,0.0,0.17,0.17,0.0,0.17,0.33,0.17,50.0,0.0,0.0,1.33,0.17,,,
dc7f8a28,Cole Palmer,"MF,FW",eng Manchester City,0.0,0.0,0.0,0.0,0.0,2.61,1.3,50.0,0.0,0.0,1.3,0.0,,,
13d23b29,Antonios Papadopoulos,"MF,FW",de Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
5c899683,Felix Passlack,DF,de Dortmund,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,4.0,1.0,,,
45a03961,Benjamin Pavard,DF,de Bayern Munich,0.3,0.0,0.3,0.3,0.3,0.91,0.46,50.0,0.33,0.67,1.22,0.3,,,
0d9b2d31,Pedri,"MF,FW",es Barcelona,0.0,0.0,0.0,0.0,0.0,1.35,0.67,50.0,0.0,0.0,4.71,0.0,,,
cc1c5035,Iñaki Peña,GK,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,87.5,8.0
c906ce0f,Pepe,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,1.0,0.0,,,
fc4e7637,Pepê,"DF,FW",pt Porto,0.0,0.0,0.0,0.0,0.0,0.66,0.26,40.0,0.0,0.0,2.63,0.13,,,
8fd9996f,Danilo Pereira,"DF,MF",fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100.0,0.0,0.0,0.2,0.0,,,
4f565d77,Kalvin Phillips,MF,eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
adfc9123,Gerard Piqué,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.35,0.35,100.0,0.0,0.0,0.35,0.0,,,
5e861944,Matteo Politano,FW,it Napoli,0.22,0.22,0.45,0.0,0.22,2.68,0.67,25.0,0.0,0.0,4.68,0.45,,,
d2416c2e,Yussuf Poulsen,"FW,MF",de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
08511d65,Sergio Ramos,DF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.75,0.25,33.3,0.0,0.0,0.25,0.0,,,
3423f250,Raphinha,FW,es Barcelona,0.0,0.61,0.61,0.0,0.61,3.06,0.0,0.0,0.0,,4.86,1.22,,,
6e058f06,Giacomo Raspadori,FW,it Napoli,1.44,1.08,2.52,1.44,2.52,3.6,1.8,50.0,0.4,0.8,4.3,2.15,,,
7d450ed3,David Raum,DF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.86,0.0,,,
36a3ff67,Marco Reus,"MF,FW",de Dortmund,0.34,0.34,0.69,0.34,0.69,2.06,0.69,33.3,0.17,0.5,2.06,0.69,,,
7fa4e703,Gio Reyna,"FW,MF",de Dortmund,0.0,0.47,0.47,0.0,0.47,0.7,0.23,33.3,0.0,0.0,3.99,0.7,,,
335fa267,Sergi Roberto,DF,es Barcelona,0.0,0.87,0.87,0.0,0.87,1.75,0.87,50.0,0.0,0.0,2.18,0.87,,,
6434f10d,Rodri,MF,eng Manchester City,0.18,0.0,0.18,0.18,0.18,1.54,0.36,23.5,0.12,0.5,1.72,0.18,,,
8f5e92a6,Rodrygo,FW,es Real Madrid,0.55,0.22,0.77,0.33,0.55,2.53,0.99,39.1,0.13,0.33,3.52,0.88,,,
90c1f9a4,Tom Rothe,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.48,0.0,,,
4b3e1a38,Amir Rrahmani,DF,it Napoli,0.0,0.0,0.0,0.0,0.0,0.44,0.15,33.3,0.0,0.0,1.17,0.0,,,
18b896d6,Antonio Rüdiger,DF,es Real Madrid,0.13,0.0,0.13,0.13,0.13,0.8,0.13,16.7,0.17,1.0,0.4,0.0,,,
0b5a292a,Mário Rui,DF,it Napoli,0.0,0.23,0.23,0.0,0.23,1.4,0.23,16.7,0.0,0.0,2.56,0.47,,,
c0c7ff58,Fabián Ruiz Peña,MF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,,3.4,0.76,,,
4535e4bb,Mathew Ryan,GK,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.5,50.0,6.0
009a4f60,Julian Ryerson,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
e280527c,Marcel Sabitzer,MF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,3.21,0.96,30.0,0.0,0.0,2.9,0.0,,,
032f894e,Renato Sanches,MF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2b114be3,Leroy Sané,"FW,MF",de Bayern Munich,0.65,0.16,0.82,0.65,0.82,2.93,1.47,50.0,0.22,0.44,5.38,0.65,,,
24051310,Zaidu Sanusi,DF,pt Porto,0.15,0.0,0.15,0.15,0.15,0.77,0.31,40.0,0.2,0.5,1.54,0.31,,,
eaefa2d0,Alvaro Sanz,MF,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
9744ff80,Pablo Sarabia,MF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,2.97,0.99,33.3,0.0,0.0,1.98,0.0,,,
f6ac68c1,Stefan Savić,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,,,
8f056768,Xaver Schlager,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,,1.23,0.15,,,
34e12499,Nico Schlotterbeck,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,,0.64,0.0,,,
3effaa34,André Silva,FW,de RB Leipzig,0.51,0.51,1.01,0.51,1.01,2.53,1.18,46.7,0.2,0.43,2.7,0.68,,,
3eb22ec9,Bernardo Silva,"FW,MF",eng Manchester City,0.3,0.1,0.4,0.3,0.4,0.79,0.49,62.5,0.38,0.6,3.75,0.2,,,
fcb27134,Mohamed Simakan,DF,de RB Leipzig,0.18,0.53,0.7,0.18,0.7,0.35,0.18,50.0,0.5,1.0,1.94,0.53,,,
343c0d52,Giovanni Simeone,FW,it Napoli,1.37,0.0,1.37,1.37,1.37,5.13,3.08,60.0,0.27,0.44,3.07,0.0,,,
