goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0,0,0,0,0.0,0,0.0,0,0.0,0,0,96.88,0,0.0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,31,0,0,0.0,3,100.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Éder Militão,Real Madrid
0,1,0,20,50.0,5,41.67,1,25.0,14,0,83.73,25,48.08,429,5,8,5,6,0,0,0,6,0,0,0,0,0,50,0,175,0,0,0.0,6,40.0,5,13,4,0,4,0,2,0.0,0,0,0.14,0,0,0,Jon Aramburu,Real Sociedad
0,1,2,19,51.35,16,53.33,0,0.0,11,0,92.38,35,52.24,1094,9,15,0,19,0,0,0,6,1,0,0,0,0,50,1,691,4,1,33.33,25,54.35,9,32,5,1,3,1,1,0.0,0,2,0.25,0,0,0,Nacho Fernández,Real Madrid
1,1,0,2,66.67,0,0.0,0,0.0,1,0,100.0,2,66.67,21,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0,1,2,1,0,50.0,0,0,0.66,0,0,0,Marc Guiu,Barcelona
0,1,0,20,54.05,1,25.0,4,57.14,4,0,88.42,21,51.22,245,12,5,6,13,0,0,0,2,0,0,0,0,0,57,1,168,3,0,0.0,3,50.0,0,1,3,0,3,0,2,0.0,0,0,0.15,0,0,0,Dani Ceballos,Real Madrid
0,0,0,3,37.5,0,0.0,0,0.0,2,0,89.47,3,37.5,33,1,4,0,3,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Arda Güler,Real Madrid
0,1,0,30,43.48,10,40.0,7,31.82,15,1,73.38,40,42.55,789,8,13,5,19,0,0,0,10,2,0,0,0,0,75,1,204,15,15,30.0,10,43.48,1,4,6,1,22,5,6,0.0,1,2,0.95,0,0,0,Arsen Zakharyan,Real Sociedad
0,4,0,16,47.06,17,58.62,2,66.67,13,0,84.46,33,52.38,783,1,12,0,16,0,0,0,8,3,0,0,0,0,21,0,326,2,0,0.0,29,53.7,8,48,5,0,5,1,0,0.0,0,0,0.33,0,0,0,José María Giménez,Atlético Madrid
2,3,0,62,41.61,28,35.0,30,63.83,13,1,70.55,90,39.3,1016,19,41,30,24,0,0,0,11,2,0,0,0,0,49,2,115,10,2,20.0,3,50.0,0,10,4,8,30,9,4,6.67,2,24,3.22,0,0,0,Umar Sadiq,Real Sociedad
2,3,0,17,32.08,16,47.06,3,30.0,11,1,53.66,33,37.93,411,3,15,14,10,0,0,0,3,0,0,0,0,0,11,1,44,1,0,0.0,1,20.0,0,5,2,0,9,4,1,22.22,0,2,1.5,0,0,0,Carlos Fernández,Real Sociedad
0,3,0,58,52.25,12,30.77,16,66.67,22,1,84.32,70,46.67,989,20,27,8,18,0,0,0,11,0,0,0,0,0,72,2,285,8,1,8.33,12,52.17,3,11,12,1,13,4,5,0.0,0,0,0.72,0,0,0,Beñat Turrientes,Real Sociedad
0,5,0,16,38.1,38,60.32,1,100.0,14,1,87.33,54,51.43,919,1,21,1,15,0,0,0,11,1,0,0,0,0,44,1,593,3,1,100.0,31,42.47,5,31,6,0,2,1,1,0.0,0,0,0.19,1,0,0,Jon Pacheco,Real Sociedad
0,2,0,25,58.14,7,43.75,6,66.67,14,0,75.66,32,54.24,324,6,6,6,11,0,0,0,6,1,0,0,0,0,34,0,115,5,0,0.0,4,40.0,3,5,3,2,8,0,2,0.0,0,1,0.81,0,1,0,Jon Ander Olasagasti,Real Sociedad
0,0,0,0,0.0,0,0.0,0,0.0,0,0,57.5,0,0.0,141,0,0,0,2,3,2,0,3,0,1,2,0,2,3,0,23,0,0,0.0,10,37.04,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Unai Marrero,Real Sociedad
0,0,0,1,50.0,4,100.0,0,0.0,0,0,84.86,5,83.33,900,1,0,0,10,22,14,8,15,2,1,0,8,0,1,0,213,0,0,0.0,30,44.78,0,13,1,0,0,0,0,0.0,0,0,0.0,1,0,0,Iñaki Peña,Barcelona
0,0,0,6,46.15,0,0.0,1,50.0,3,0,89.61,6,40.0,166,2,3,2,3,0,0,0,2,0,0,0,0,0,25,0,69,1,1,16.67,0,0.0,0,0,1,0,2,0,1,0.0,0,0,0.16,0,0,0,Thomas Lemar,Atlético Madrid
0,0,0,3,23.08,0,0.0,0,0.0,2,1,90.16,3,21.43,101,1,4,2,3,0,0,0,2,0,0,0,0,0,17,0,55,2,0,0.0,2,50.0,2,0,3,0,0,0,0,0.0,0,0,0.0,0,0,0,Hector Fort,Barcelona
