goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
2,0,0,23,47.92,4,44.44,1,16.67,8,3,78.16,27,47.37,564,14,11,8,20,0,0,0,2,0,0,0,0,0,56,3,136,12,0,0.0,1,33.33,4,3,1,2,12,6,2,16.67,0,4,3.47,0,0,0,Marko Arnautović,Inter
4,1,0,20,43.48,8,50.0,7,50.0,4,1,81.94,28,45.16,554,9,5,12,21,0,0,0,1,0,0,0,0,0,42,1,127,6,1,10.0,7,63.64,2,8,2,1,15,8,2,26.67,0,0,3.48,0,0,0,Davide Frattesi,Inter
6,7,0,37,40.66,10,33.33,5,23.81,7,1,74.59,47,38.84,1311,26,17,14,23,0,0,0,16,4,0,0,0,0,105,3,270,14,1,25.0,5,55.56,4,7,8,9,35,16,7,17.14,3,10,7.74,0,0,0,Ciro Immobile,Lazio
1,2,0,46,48.42,12,50.0,3,30.0,36,1,84.77,58,48.74,1768,7,18,0,24,0,0,0,9,2,0,0,0,0,130,1,824,15,5,35.71,45,46.39,10,37,24,2,7,4,2,14.29,0,0,0.86,0,0,0,Matteo Darmian,Inter
0,1,1,20,54.05,23,48.94,1,33.33,14,0,88.72,43,51.19,917,6,13,0,13,0,0,0,12,2,0,0,0,0,53,0,527,4,2,40.0,38,49.35,7,30,5,0,6,1,1,0.0,0,0,0.42,0,0,0,Natan,Napoli
0,1,0,12,40.0,14,45.16,1,100.0,8,0,92.55,26,42.62,944,3,11,0,12,0,0,0,15,2,0,0,0,0,54,0,584,1,0,0.0,31,75.61,5,39,7,1,4,1,0,0.0,0,0,0.7,0,0,0,Nicolò Casale,Lazio
3,5,0,21,44.68,19,50.0,4,80.0,13,1,82.82,40,47.06,576,4,18,0,20,0,0,0,7,0,0,0,0,0,48,0,270,2,0,0.0,10,58.82,6,7,7,3,19,6,4,15.79,0,2,2.24,0,0,0,Matías Vecino,Lazio
0,0,0,1,33.33,0,0.0,1,100.0,0,0,90.91,1,33.33,28,0,0,1,3,0,0,0,0,0,0,0,0,0,4,0,40,2,1,100.0,4,100.0,1,0,1,0,2,0,1,0.0,0,0,0.09,0,0,0,Stefano Sensi,Inter
1,3,0,24,42.86,17,48.57,5,55.56,9,0,74.42,41,45.05,661,11,9,11,20,0,0,0,6,2,0,0,0,0,35,1,96,6,2,40.0,1,20.0,1,3,9,4,31,11,4,3.23,1,6,3.09,0,0,0,Giovanni Simeone,Napoli
2,3,0,38,40.0,2,33.33,13,37.14,4,1,70.05,40,39.6,872,22,12,16,22,0,0,0,9,1,0,0,0,0,70,2,152,12,3,15.0,5,31.25,2,1,8,1,16,6,3,12.5,1,2,1.12,0,0,0,Gustav Isaksen,Lazio
1,3,0,36,50.7,1,20.0,11,50.0,14,0,85.53,37,48.68,620,11,9,9,24,0,0,0,7,1,0,0,0,0,73,4,266,14,4,25.0,10,52.63,2,1,7,1,9,4,2,11.11,0,3,1.1,0,0,0,Pedro,Lazio
0,3,1,51,52.58,15,36.59,11,50.0,32,0,84.62,66,47.83,2250,8,14,5,27,0,0,0,22,4,0,0,0,0,167,1,990,5,7,25.0,43,45.74,24,46,17,0,3,2,1,0.0,0,1,0.07,1,1,0,Adam Marušić,Lazio
0,0,0,3,60.0,0,0.0,0,0.0,0,0,87.5,3,60.0,14,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Ebenezer Akinsanmiro,Inter
1,4,1,37,50.68,12,66.67,12,54.55,16,0,77.61,49,53.85,595,9,15,5,15,0,0,0,5,1,0,0,0,0,55,0,253,1,0,0.0,13,37.14,6,12,7,0,6,1,2,16.67,0,0,0.22,0,0,0,Luca Pellegrini,Lazio
0,5,0,38,50.0,12,46.15,8,53.33,24,1,86.19,50,49.02,608,6,18,7,18,0,0,0,11,2,0,0,0,0,63,1,231,6,0,0.0,7,70.0,2,9,8,2,10,2,3,0.0,1,1,0.98,0,0,0,Jens Cajuste,Napoli
0,2,0,17,41.46,1,33.33,8,47.06,6,0,83.66,18,40.91,320,3,5,6,17,0,0,0,6,0,0,0,0,0,52,3,128,9,2,40.0,2,40.0,2,2,4,0,12,2,3,0.0,0,1,0.63,0,0,0,Jesper Lindstrøm,Napoli
0,2,0,22,43.14,11,57.89,1,16.67,17,0,85.56,33,47.14,709,4,9,8,14,0,0,0,12,3,0,0,0,0,63,0,397,7,2,33.33,20,60.61,9,24,7,0,1,0,0,0.0,0,0,0.02,0,0,0,Elseid Hysaj,Lazio
0,0,0,4,66.67,4,80.0,0,0.0,4,0,86.36,8,72.73,165,0,2,0,10,0,0,0,0,0,0,0,0,0,11,0,57,2,0,0.0,2,66.67,2,2,0,0,1,0,1,0.0,0,1,0.09,0,0,0,Davy Klaassen,Inter
0,0,0,1,50.0,2,100.0,0,0.0,0,0,85.19,3,75.0,33,1,0,1,3,0,0,0,0,0,0,0,0,0,4,0,23,0,0,0.0,0,0.0,0,0,0,0,1,0,1,0.0,0,0,0.03,0,0,0,Leander Dendoncker,Napoli
0,0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,0,0.0,16,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nikita Contini,Napoli
0,0,0,1,33.33,0,0.0,1,100.0,0,0,100.0,1,25.0,27,0,1,1,2,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tajon Buchanan,Inter
0,4,1,62,42.47,15,32.61,21,44.68,29,2,76.03,77,40.1,1555,12,29,16,24,0,0,0,29,4,0,0,0,0,141,2,482,15,12,23.53,16,26.67,6,33,13,0,12,2,2,0.0,0,3,0.47,0,0,0,Pasquale Mazzocchi,Napoli
0,0,0,0,0.0,1,100.0,0,0.0,0,0,100.0,1,50.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Lucien Agoumé,Inter
