goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
2,1,0,27,52.94,11,61.11,13,72.22,10,1,81.6,38,55.07,469,4,7,12,21,0,0,0,12,1,0,0,0,0,50,2,133,11,2,50.0,3,75.0,2,3,1,6,21,10,4,9.52,0,2,4.1,0,0,1,Eric Maxim Choupo-Moting,FC Bayern München
0,0,0,2,33.33,0,0.0,0,0.0,2,0,88.89,2,33.33,52,0,0,2,4,0,0,0,0,0,0,0,0,0,11,1,40,2,0,0.0,1,50.0,0,0,1,0,2,2,0,0.0,0,1,0.26,0,0,0,Frans Krätzig,FC Bayern München
0,0,0,3,60.0,0,0.0,1,33.33,1,0,64.29,3,60.0,27,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,9,0,1,50.0,1,50.0,1,0,0,0,1,1,0,0.0,0,0,0.02,0,0,0,Bryan Zaragoza,FC Bayern München
0,1,0,1,100.0,0,0.0,1,100.0,0,0,71.43,1,100.0,9,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,5,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Gravenberch,FC Bayern München
0,0,0,4,80.0,0,0.0,0,0.0,3,0,90.0,4,80.0,26,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0.0,1,50.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Antonios Papadopoulos,Borussia Dortmund
0,0,0,1,50.0,2,50.0,0,0.0,1,0,98.31,3,50.0,45,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,58,0,0,0.0,3,75.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Hendry Blank,Borussia Dortmund
0,0,0,7,19.44,7,53.85,2,28.57,5,0,81.4,14,28.57,593,0,10,4,8,0,0,0,5,0,0,0,0,0,60,1,337,4,2,11.76,22,55.0,4,22,10,0,8,1,4,0.0,0,0,0.51,0,0,0,Thomas Meunier,Borussia Dortmund
3,1,0,13,35.14,3,37.5,8,50.0,4,0,82.89,16,35.56,356,1,7,8,14,0,0,0,5,0,0,0,0,0,30,0,63,4,1,25.0,1,100.0,1,1,2,1,9,5,2,33.33,1,4,2.15,0,0,0,Youssoufa Moukoko,Borussia Dortmund
2,0,0,19,46.34,2,40.0,3,42.86,7,1,85.19,21,45.65,473,9,4,7,14,0,0,0,5,0,0,0,0,0,50,2,161,6,2,25.0,3,42.86,0,5,7,2,12,5,3,16.67,1,0,1.45,0,0,0,Emil Forsberg,RB Leipzig
0,0,0,7,28.0,2,40.0,3,42.86,3,0,88.76,9,30.0,228,1,5,3,5,0,0,0,0,1,0,0,0,0,33,0,79,5,1,25.0,2,100.0,0,2,7,4,10,3,4,0.0,0,1,1.16,0,0,0,Serge Gnabry,FC Bayern München
0,0,0,4,66.67,1,50.0,1,33.33,2,0,88.04,5,62.5,105,1,0,0,2,0,0,0,2,0,0,0,0,0,13,0,81,0,1,100.0,2,66.67,0,0,0,1,1,1,0,0.0,0,0,0.22,0,0,0,Bouna Sarr,FC Bayern München
0,0,0,1,33.33,1,100.0,1,50.0,0,0,63.64,2,50.0,31,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0.0,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0.05,0,0,0,Ole Pohlmann,Borussia Dortmund
